iucn_sid,dbf_file,sciname,main_common_name,cat,cat_score,published_year,iucn_version
184867,NA,Stenothyra prasongi,NA,DD,NA,2012,2018-1
184876,NA,Rehderiella parva,NA,LC,0,2012,2018-1
184889,NA,Stenothyra maculata,NA,DD,NA,2012,2018-1
184904,NA,Auriculastra elongata,NA,LC,0,2012,2018-1
184918,NA,Auriculastra subula,NA,LC,0,2016,2018-1
184929,NA,Clenchiella microscopica,NA,LC,0,2014,2018-1
184939,NA,Iravadia rohdei,NA,LC,0,2012,2018-1
184940,NA,Iravadia cochinchinensis,NA,LC,0,2012,2018-1
184985,LOBSTERS.dbf,Enoplometopus daumi,Striped Reef Lobster,DD,NA,2011,2018-1
184986,LOBSTERS.dbf,Galearctus rapanus,NA,DD,NA,2011,2018-1
184987,LOBSTERS.dbf,Bathyarctus steatopygus,NA,DD,NA,2011,2018-1
184988,LOBSTERS.dbf,Galearctus umbilicatus,NA,DD,NA,2011,2018-1
184989,LOBSTERS.dbf,Stereomastis cerata,NA,LC,0,2011,2018-1
184990,LOBSTERS.dbf,Nephropsis holthuisi,NA,DD,NA,2011,2018-1
184991,LOBSTERS.dbf,Stereomastis trispinosa,NA,LC,0,2011,2018-1
184992,LOBSTERS.dbf,Thaumastochelopsis brucei,NA,DD,NA,2011,2018-1
184993,LOBSTERS.dbf,Enoplometopus antillensis,Flaming Reef Lobster,LC,0,2011,2018-1
184994,LOBSTERS.dbf,Biarctus dubius,NA,DD,NA,2011,2018-1
184995,LOBSTERS.dbf,Eduarctus lewinsohni,NA,DD,NA,2011,2018-1
184996,LOBSTERS.dbf,Stereomastis panglao,NA,LC,0,2011,2018-1
184997,LOBSTERS.dbf,Eduarctus modestus,NA,LC,0,2011,2018-1
184998,LOBSTERS.dbf,Enoplometopus debelius,Violet-spotted Reef Lobster,DD,NA,2011,2018-1
184999,LOBSTERS.dbf,Scyllarus subarctus,NA,DD,NA,2011,2018-1
185e3,LOBSTERS.dbf,Stereomastis nana,NA,LC,0,2011,2018-1
185001,LOBSTERS.dbf,Stereomastis alis,NA,DD,NA,2011,2018-1
185002,LOBSTERS.dbf,Ibacus pubescens,NA,DD,NA,2011,2018-1
185003,LOBSTERS.dbf,Stereomastis polita,NA,LC,0,2011,2018-1
185004,LOBSTERS.dbf,Thymopides laurentae,NA,DD,NA,2011,2018-1
185005,LOBSTERS.dbf,Enoplometopus gracilipes,NA,DD,NA,2011,2018-1
185006,LOBSTERS.dbf,Eduarctus marginatus,NA,DD,NA,2011,2018-1
185007,LOBSTERS.dbf,Nupalirus chani,Small Furrow Lobster,DD,NA,2011,2018-1
185008,LOBSTERS.dbf,Palinurus barbarae,NA,DD,NA,2011,2018-1
185009,LOBSTERS.dbf,Palinustus holthuisi,NA,DD,NA,2011,2018-1
185010,LOBSTERS.dbf,Acantharctus delfini,NA,DD,NA,2011,2018-1
185011,LOBSTERS.dbf,Enoplometopus chacei,NA,DD,NA,2011,2018-1
185012,LOBSTERS.dbf,Stereomastis sculpta,Flatback Lobster,LC,0,2011,2018-1
185013,LOBSTERS.dbf,Bathyarctus ramosae,NA,DD,NA,2011,2018-1
185014,LOBSTERS.dbf,Thenus indicus,Mud Bug,DD,NA,2011,2018-1
185015,LOBSTERS.dbf,Cardus crucifer,NA,LC,0,2011,2018-1
185016,LOBSTERS.dbf,Scyllarus planorbis,NA,DD,NA,2011,2018-1
185017,LOBSTERS.dbf,Petrarctus demani,NA,LC,0,2011,2018-1
185018,LOBSTERS.dbf,Pentacheles gibbus,NA,LC,0,2011,2018-1
185019,LOBSTERS.dbf,Polycheles enthrix,NA,LC,0,2011,2018-1
185020,LOBSTERS.dbf,Crenarctus crenatus,NA,LC,0,2011,2018-1
185021,LOBSTERS.dbf,Ibacus chacei,NA,LC,0,2011,2018-1
185022,LOBSTERS.dbf,Stereomastis talismani,NA,LC,0,2011,2018-1
185023,LOBSTERS.dbf,Stereomastis surda,NA,LC,0,2011,2018-1
185024,LOBSTERS.dbf,Enoplometopus holthuisi,Bullseye Reef Lobster,DD,NA,2011,2018-1
185025,LOBSTERS.dbf,Nupalirus vericeli,Polynesian Furrow Lobster,DD,NA,2011,2018-1
185026,LOBSTERS.dbf,Polycheles typhlops,NA,LC,0,2011,2018-1
185028,LOBSTERS.dbf,Eduarctus perspicillatus,NA,DD,NA,2011,2018-1
185029,LOBSTERS.dbf,Thaumastocheles dochmiodon,NA,LC,0,2011,2018-1
185030,LOBSTERS.dbf,Enoplometopus callistus,NA,DD,NA,2011,2018-1
185031,LOBSTERS.dbf,Acantharctus ornatus,NA,LC,0,2011,2018-1
185032,LOBSTERS.dbf,Biarctus sordidus,Pygmy Slipper Lobster,LC,0,2011,2018-1
185033,LOBSTERS.dbf,Stereomastis evexa,NA,LC,0,2011,2018-1
185034,LOBSTERS.dbf,Polycheles amemiyai,NA,LC,0,2011,2018-1
185035,LOBSTERS.dbf,Bathyarctus rubens,NA,LC,0,2011,2018-1
185036,LOBSTERS.dbf,Stereomastis suhmi,NA,LC,0,2011,2018-1
185037,LOBSTERS.dbf,Stereomastis pacifica,NA,LC,0,2011,2018-1
185038,LOBSTERS.dbf,Pentacheles laevis,NA,LC,0,2011,2018-1
185039,LOBSTERS.dbf,Scyllarus caparti,NA,LC,0,2011,2018-1
185040,LOBSTERS.dbf,Stereomastis helleri,NA,LC,0,2011,2018-1
185041,LOBSTERS.dbf,Chelarctus aureus,Locust Lobster,LC,0,2011,2018-1
185042,LOBSTERS.dbf,Scyllarus chacei,NA,LC,0,2011,2018-1
185043,LOBSTERS.dbf,Laurentaeglyphea neocaledonica,NA,DD,NA,2011,2018-1
185044,LOBSTERS.dbf,Antarctus mawsoni,NA,LC,0,2011,2018-1
185045,LOBSTERS.dbf,Bathyarctus formosanus,NA,DD,NA,2011,2018-1
185046,LOBSTERS.dbf,Petrarctus veliger,NA,LC,0,2011,2018-1
185047,LOBSTERS.dbf,Enoplometopus macrodontus,NA,DD,NA,2011,2018-1
185048,LOBSTERS.dbf,Antipodarctus aoteanus,NA,LC,0,2011,2018-1
185049,LOBSTERS.dbf,Polycheles martini,NA,LC,0,2011,2018-1
185050,LOBSTERS.dbf,Willemoesia forceps,NA,LC,0,2011,2018-1
185051,LOBSTERS.dbf,Enoplometopus crosnieri,NA,DD,NA,2011,2018-1
185052,LOBSTERS.dbf,Enoplometopus voigtmanni,NA,DD,NA,2011,2018-1
185053,LOBSTERS.dbf,Enoplometopus pictus,NA,DD,NA,2011,2018-1
185054,LOBSTERS.dbf,Willemoesia leptodactyla,NA,LC,0,2011,2018-1
185055,LOBSTERS.dbf,Homeryon asper,NA,LC,0,2011,2018-1
185056,LOBSTERS.dbf,Thenus parindicus,NA,DD,NA,2011,2018-1
185057,LOBSTERS.dbf,Scyllarides obtusus,NA,DD,NA,2011,2018-1
185058,LOBSTERS.dbf,Pentacheles validus,NA,LC,0,2011,2018-1
185059,LOBSTERS.dbf,Acantharctus posteli,NA,DD,NA,2011,2018-1
185060,LOBSTERS.dbf,Enoplometopus occidentalis,Hawaiian Red Lobster,LC,0,2011,2018-1
185061,LOBSTERS.dbf,Pentacheles snyderi,NA,LC,0,2011,2018-1
185062,LOBSTERS.dbf,Galearctus timidus,NA,LC,0,2011,2018-1
185063,LOBSTERS.dbf,Metanephrops taiwanicus,Red-Banded Lobster,DD,NA,2011,2018-1
185064,LOBSTERS.dbf,Stereomastis auriculata,NA,LC,0,2011,2018-1
185065,LOBSTERS.dbf,Nephropsis serrata,NA,DD,NA,2011,2018-1
185066,LOBSTERS.dbf,Polycheles coccifer,NA,LC,0,2011,2018-1
185067,LOBSTERS.dbf,Polycheles tanneri,NA,LC,0,2011,2018-1
185068,LOBSTERS.dbf,Eunephrops luckhursti,NA,DD,NA,2011,2018-1
185069,LOBSTERS.dbf,Stereomastis galil,NA,LC,0,2011,2018-1
185070,LOBSTERS.dbf,Petrarctus holthuisi,NA,LC,0,2011,2018-1
185071,LOBSTERS.dbf,Polycheles kermadecensis,NA,LC,0,2011,2018-1
185072,LOBSTERS.dbf,Stereomastis phosphorus,Pink Blind Lobster,LC,0,2011,2018-1
185073,LOBSTERS.dbf,Stereomastis aculeata,NA,LC,0,2011,2018-1
185074,LOBSTERS.dbf,Galearctus kitanoviriosus,NA,LC,0,2011,2018-1
185075,LOBSTERS.dbf,Thenus australiensis,Sandbug,DD,NA,2011,2018-1
185076,LOBSTERS.dbf,Galearctus aurora,NA,LC,0,2011,2018-1
185077,LOBSTERS.dbf,Bathyarctus faxoni,Faxon Slipper Lobster,LC,0,2011,2018-1
185078,LOBSTERS.dbf,Chelarctus crosnieri,NA,DD,NA,2011,2018-1
185079,LOBSTERS.dbf,Homeryon armarium,NA,DD,NA,2011,2018-1
185080,LOBSTERS.dbf,Chelarctus cultrifer,NA,LC,0,2011,2018-1
185081,LOBSTERS.dbf,Scyllarus depressus,NA,LC,0,2011,2018-1
185082,LOBSTERS.dbf,Willemoesia pacifica,NA,DD,NA,2011,2018-1
185083,LOBSTERS.dbf,Polycheles baccatus,NA,LC,0,2011,2018-1
185084,LOBSTERS.dbf,Polycheles perarmatus,NA,LC,0,2011,2018-1
185085,LOBSTERS.dbf,Jasus caveorum,NA,DD,NA,2011,2018-1
185086,LOBSTERS.dbf,Scyllarus americanus,NA,LC,0,2011,2018-1
185087,LOBSTERS.dbf,Bathyarctus chani,NA,LC,0,2011,2018-1
185088,LOBSTERS.dbf,Eduarctus reticulatus,NA,LC,0,2011,2018-1
185089,LOBSTERS.dbf,Biarctus pumilus,NA,LC,0,2011,2018-1
185090,LOBSTERS.dbf,Eduarctus pyrrhonotus,NA,LC,0,2011,2018-1
185091,LOBSTERS.dbf,Pentacheles obscurus,NA,LC,0,2011,2018-1
185092,LOBSTERS.dbf,Thenus unimaculatus,NA,DD,NA,2011,2018-1
185093,LOBSTERS.dbf,Crenarctus bicuspidatus,NA,LC,0,2011,2018-1
185094,LOBSTERS.dbf,Willemoesia inornata,NA,DD,NA,2011,2018-1
185095,LOBSTERS.dbf,Scyllarus paradoxus,NA,DD,NA,2011,2018-1
185096,LOBSTERS.dbf,Eduarctus aesopius,NA,LC,0,2011,2018-1
185126,COMBTOOTHBLENNIES.dbf,Blennius ocellaris,Butterfly Blenny,LC,0,2014,2018-1
185127,COMBTOOTHBLENNIES.dbf,Lipophrys trigloides,Futarra,LC,0,2014,2018-1
185128,COMBTOOTHBLENNIES.dbf,Parablennius gattorugine,Tompot Blenny,LC,0,2011,2018-1
185129,COMBTOOTHBLENNIES.dbf,Ophioblennius atlanticus,Redlip Blenny,LC,0,2014,2018-1
185130,COMBTOOTHBLENNIES.dbf,Neoclinus chihiroe,NA,LC,0,2014,2018-1
185131,COMBTOOTHBLENNIES.dbf,Spaniblennius riodourensis,NA,DD,NA,2014,2018-1
185132,COMBTOOTHBLENNIES.dbf,Neoclinus nudus,NA,LC,0,2014,2018-1
185133,COMBTOOTHBLENNIES.dbf,Neoclinus blanchardi,Sarcastic Fringehead,LC,0,2014,2018-1
185134,COMBTOOTHBLENNIES.dbf,Myxodagnus walkeri,NA,LC,0,2014,2018-1
185135,COMBTOOTHBLENNIES.dbf,Storrsia olsoni,NA,LC,0,2014,2018-1
185136,COMBTOOTHBLENNIES.dbf,Parablennius salensis,NA,LC,0,2014,2018-1
185137,COMBTOOTHBLENNIES.dbf,Platygillellus brasiliensis,Brazilian Sand Stargazer,LC,0,2014,2018-1
185138,COMBTOOTHBLENNIES.dbf,Parablennius dialloi,NA,LC,0,2014,2018-1
185139,COMBTOOTHBLENNIES.dbf,Scartella itajobi,NA,LC,0,2014,2018-1
185140,COMBTOOTHBLENNIES.dbf,Parablennius sierraensis,NA,LC,0,2014,2018-1
185141,COMBTOOTHBLENNIES.dbf,Hypleurochilus aequipinnis,Oyster Blenny,LC,0,2014,2018-1
185142,COMBTOOTHBLENNIES.dbf,Cryptotrema corallinum,Deepwater blenny,LC,0,2014,2018-1
185143,COMBTOOTHBLENNIES.dbf,Acanthemblemaria hastingsi,NA,LC,0,2014,2018-1
185144,COMBTOOTHBLENNIES.dbf,Scartella springeri,Springer's Blenny,VU,0.4,2014,2018-1
185145,COMBTOOTHBLENNIES.dbf,Parablennius verryckeni,NA,DD,NA,2014,2018-1
185146,COMBTOOTHBLENNIES.dbf,Tripterygion delaisi,Black-faced Blenny,LC,0,2014,2018-1
185147,COMBTOOTHBLENNIES.dbf,Scartella poiti,NA,VU,0.4,2014,2018-1
185148,COMBTOOTHBLENNIES.dbf,Labrisomus cricota,Mock Blenny,LC,0,2014,2018-1
185149,COMBTOOTHBLENNIES.dbf,Hypleurochilus fissicornis,Blenio,LC,0,2014,2018-1
185150,COMBTOOTHBLENNIES.dbf,Neoclinus lacunicola,NA,LC,0,2014,2018-1
185151,COMBTOOTHBLENNIES.dbf,Microlipophrys caboverdensis,NA,LC,0,2014,2018-1
185152,COMBTOOTHBLENNIES.dbf,Lupinoblennius paivai,Paiva's Blenny,EN,0.6,2014,2018-1
185153,COMBTOOTHBLENNIES.dbf,Parablennius goreensis,NA,LC,0,2014,2018-1
185154,COMBTOOTHBLENNIES.dbf,Sindoscopus australis,NA,LC,0,2014,2018-1
185155,COMBTOOTHBLENNIES.dbf,Clinitrachus argentatus,Cline,LC,0,2014,2018-1
185156,COMBTOOTHBLENNIES.dbf,Microlipophrys canevae,Blennie de Caneva,LC,0,2014,2018-1
185157,COMBTOOTHBLENNIES.dbf,Neoclinus bryope,NA,LC,0,2014,2018-1
185158,COMBTOOTHBLENNIES.dbf,Auchenionchus crinitus,NA,LC,0,2014,2018-1
185159,COMBTOOTHBLENNIES.dbf,Starksia multilepis,Manyscaled Blenny,LC,0,2014,2018-1
185160,COMBTOOTHBLENNIES.dbf,Microlipophrys velifer,Sailfin Blenny,LC,0,2014,2018-1
185161,COMBTOOTHBLENNIES.dbf,Labrisomus fernandezianus,NA,LC,0,2014,2018-1
185162,COMBTOOTHBLENNIES.dbf,Parablennius ruber,Portuguese Blenny,LC,0,2014,2018-1
185163,COMBTOOTHBLENNIES.dbf,Scartella nuchifilis,NA,VU,0.4,2014,2018-1
185164,COMBTOOTHBLENNIES.dbf,Auchenionchus microcirrhis,NA,LC,0,2014,2018-1
185165,COMBTOOTHBLENNIES.dbf,Coryphoblennius galerita,Montagu's Blenny,LC,0,2014,2018-1
185166,COMBTOOTHBLENNIES.dbf,Scartella caboverdiana,NA,LC,0,2014,2018-1
185167,COMBTOOTHBLENNIES.dbf,Neoclinus toshimaensis,NA,LC,0,2014,2018-1
185168,COMBTOOTHBLENNIES.dbf,Aidablennius sphynx,Blennie Sphinx,LC,0,2014,2018-1
185169,COMBTOOTHBLENNIES.dbf,Paraclinus arcanus,NA,LC,0,2014,2018-1
185171,COMBTOOTHBLENNIES.dbf,Neoclinus stephensae,Yellowfin Fringehead,LC,0,2014,2018-1
185172,COMBTOOTHBLENNIES.dbf,Emblemaria australis,NA,LC,0,2014,2018-1
185173,COMBTOOTHBLENNIES.dbf,Auchenionchus variolosus,NA,LC,0,2014,2018-1
185174,COMBTOOTHBLENNIES.dbf,Alloclinus holderi,Island kelpfish,LC,0,2014,2018-1
185175,COMBTOOTHBLENNIES.dbf,Salaria pavo,Peacock Blenny,LC,0,2014,2018-1
185176,COMBTOOTHBLENNIES.dbf,Entomacrodus vomerinus,Rockpool Blenny,LC,0,2014,2018-1
185177,COMBTOOTHBLENNIES.dbf,Spaniblennius clandestinus,NA,DD,NA,2014,2018-1
185178,COMBTOOTHBLENNIES.dbf,Bathyblennius antholops,NA,DD,NA,2014,2018-1
185179,COMBTOOTHBLENNIES.dbf,Emblemariopsis diaphana,Glass Blenny,LC,0,2014,2018-1
185180,COMBTOOTHBLENNIES.dbf,Lipophrys pholis,Shanny,LC,0,2014,2018-1
185181,COMBTOOTHBLENNIES.dbf,Parablennius incognitus,Blennie Diabolo,LC,0,2014,2018-1
185182,NA,Dactylopterus volitans,Flying Gurnard,LC,0,2015,2018-1
185183,COMBTOOTHBLENNIES.dbf,Blennius normani,Blennie,LC,0,2014,2018-1
185184,COMBTOOTHBLENNIES.dbf,Labrisomus conditus,Masquerader Hairy Blenny,LC,0,2014,2018-1
185185,COMBTOOTHBLENNIES.dbf,Parablennius tentacularis,Tentacled Blenny,LC,0,2014,2018-1
185186,COMBTOOTHBLENNIES.dbf,Malacoctenus africanus,Senegal Blenny,DD,NA,2014,2018-1
185187,COMBTOOTHBLENNIES.dbf,Microlipophrys bauchotae,NA,DD,NA,2014,2018-1
185188,COMBTOOTHBLENNIES.dbf,Neoclinus okazakii,NA,LC,0,2014,2018-1
185189,COMBTOOTHBLENNIES.dbf,Emblemaria hudsoni,NA,LC,0,2014,2018-1
185190,COMBTOOTHBLENNIES.dbf,Paraclinus spectator,NA,LC,0,2014,2018-1
185191,COMBTOOTHBLENNIES.dbf,Ophioblennius trinitatis,NA,LC,0,2014,2018-1
185192,COMBTOOTHBLENNIES.dbf,Calliclinus geniguttatus,Tromboyos,LC,0,2014,2018-1
185193,COMBTOOTHBLENNIES.dbf,Parablennius sanguinolentus,Rusty Blenny,LC,0,2014,2018-1
185194,COMBTOOTHBLENNIES.dbf,Starksia brasiliensis,NA,LC,0,2014,2018-1
185195,COMBTOOTHBLENNIES.dbf,Labrisomus philippii,Chalapo Clinid,LC,0,2014,2018-1
185196,COMBTOOTHBLENNIES.dbf,Starksia guadalupae,Guadalupe Blenny,LC,0,2014,2018-1
185774,NA,Pedipes affinis,NA,LC,0,2016,2018-1
185865,NA,Phaeoptyx pigmentaria,Dusky Cardinalfish,LC,0,2015,2018-1
185866,NA,Phaeoptyx conklini,Freckled Cardinalfish,LC,0,2015,2018-1
185868,NA,Astrapogon alutus,Bronze Cardinalfish,LC,0,2015,2018-1
185869,NA,Astrapogon stellatus,Conchfish,DD,NA,2015,2018-1
185870,NA,Astrapogon puncticulatus,Blackfin Cardinalfish,LC,0,2015,2018-1
185872,NA,Leptophilypnus fluviatilis,Freshwater Sleeper Goby,LC,0,2015,2018-1
185874,NA,Eucinostomus lefroyi,Mottled Mojarra,LC,0,2015,2018-1
185876,gobiesociformes.dbf,Acyrtus rubiginosus,Red Clingfish,LC,0,2015,2018-1
185877,gobiesociformes.dbf,Acyrtus artius,Papillate Clingfish,LC,0,2015,2018-1
185879,NA,Derilissus vittiger,Red-striped Clingfish,DD,NA,2015,2018-1
185880,gobiesociformes.dbf,Derilissus kremnobates,Whiskereye Clingfish,DD,NA,2015,2018-1
185881,gobiesociformes.dbf,Derilissus altifrons,High-forehead Clingfish,LC,0,2015,2018-1
185885,NA,Nes longus,Orangespotted Goby,LC,0,2015,2018-1
185887,NA,Ginsburgellus novemlineatus,Nineline Goby,LC,0,2015,2018-1
185891,NA,Psilotris batrachodes,Toadfish Goby,LC,0,2015,2018-1
185892,NA,Psilotris boehlkei,Boehlke's Goby,VU,0.4,2015,2018-1
185893,NA,Psilotris celsus,Highspine Goby,LC,0,2015,2018-1
185894,NA,Psilotris amblyrhynchus,Blunt-snout Goby,DD,NA,2015,2018-1
185895,NA,Psilotris alepis,Scaleless Goby,LC,0,2015,2018-1
185896,NA,Psilotris kaufmani,Kaufman's Goby,LC,0,2015,2018-1
185898,NA,Risor ruber,Tusked Goby,LC,0,2015,2018-1
185900,NA,Robinsichthys arrowsmithensis,Robin's Goby,DD,NA,2015,2018-1
185902,NA,Tigrigobius zebrellus,Zebrette Goby,LC,0,2015,2018-1
185903,NA,Tigrigobius dilepis,Orangesided Goby,LC,0,2015,2018-1
185904,NA,Tigrigobius gemmatus,Frecklefin Goby,LC,0,2015,2018-1
185905,NA,Tigrigobius redimiculus,Cinta Goby,VU,0.4,2015,2018-1
185906,NA,Tigrigobius pallens,Semiscaled Goby,LC,0,2015,2018-1
185909,NA,Varicus marilynae,Orangebelly Goby,DD,NA,2015,2018-1
185911,NA,Vomerogobius flavus,Lemon Goby,DD,NA,2015,2018-1
185913,NA,Evermannichthys bicolor,Bicolored Sponge Goby,DD,NA,2015,2018-1
185914,NA,Evermannichthys silus,Pugnose Goby,DD,NA,2015,2018-1
185915,NA,Evermannichthys spongicola,Sponge Goby,LC,0,2015,2018-1
185916,NA,Evermannichthys metzelaari,Roughtail Goby,LC,0,2015,2018-1
185917,NA,Evermannichthys convictor,Tenant Goby,DD,NA,2015,2018-1
185919,NA,Gramma linki,Yellowcheek Basslet,LC,0,2015,2018-1
185920,NA,Gramma melacara,Blackcap Basslet,LC,0,2015,2018-1
185921,NA,Gramma loreto,Fairy Basslet,LC,0,2015,2018-1
185922,gobiesociformes.dbf,Acyrtops beryllinus,Emerald Clingfish,LC,0,2015,2018-1
185923,NA,Apogon binotatus,Barred Cardinalfish,LC,0,2015,2018-1
185924,NA,Paroncheilus affinis,Bigtooth Cardinalfish,LC,0,2015,2018-1
185925,NA,Apogon aurolineatus,Bridle Cardinalfish,LC,0,2015,2018-1
185926,NA,Apogon lachneri,Whitestar Cardinalfish,LC,0,2015,2018-1
185927,NA,Apogon leptocaulus,Slendertail Cardinalfish,LC,0,2015,2018-1
185928,NA,Apogon robbyi,Striped Cardinalfish,LC,0,2015,2018-1
185929,NA,Apogon robinsi,Roughlip Cardinalfish,LC,0,2015,2018-1
185930,NA,Apogon gouldi,Deepwater Cardinalfish,LC,0,2015,2018-1
185931,NA,Apogon pseudomaculatus,Twospot Cardinalfish,LC,0,2015,2018-1
185932,NA,Apogon mosavi,Dwarf Cardinalfish,LC,0,2015,2018-1
185933,NA,Zapogon evermanni,Cave Cardinalfish,LC,0,2015,2018-1
185934,NA,Apogon phenax,Mimic Cardinalfish,LC,0,2015,2018-1
185935,NA,Apogon quadrisquamatus,Sawcheek Cardinalfish,LC,0,2015,2018-1
185936,NA,Apogon townsendi,Belted Cardinalfish,LC,0,2015,2018-1
185937,NA,Apogon maculatus,Spotted Cardinalfish,LC,0,2015,2018-1
185938,NA,Apogon pillionatus,Broadsaddle Cardinalfish,LC,0,2015,2018-1
185939,gobiesociformes.dbf,Arcos nudus,Padded Clingfish,LC,0,2015,2018-1
185941,NA,Barbulifer antennatus,Whiskered Goby,LC,0,2015,2018-1
185942,NA,Barbulifer ceuthoecus,Bearded Goby,LC,0,2015,2018-1
185943,NA,Bathygobius curacao,Notchtongue Goby,LC,0,2015,2018-1
185944,NA,Bollmannia boqueronensis,White-eye Goby,LC,0,2015,2018-1
185945,NA,Bollmannia eigenmanni,Shelf Goby,LC,0,2015,2018-1
185946,NA,Bollmannia litura,Citrine Goby,LC,0,2015,2018-1
185947,NA,Bollmannia communis,Ragged Goby,LC,0,2015,2018-1
185948,NA,Chriolepis benthonis,Deepwater Goby,DD,NA,2015,2018-1
185949,NA,Varicus imswe,Whiteband Goby,DD,NA,2015,2018-1
185950,NA,Chriolepis vespa,Wasp Goby,LC,0,2015,2018-1
185951,NA,Chriolepis fisheri,Translucent Goby,LC,0,2015,2018-1
185952,NA,Coryphopterus thrix,Bartail Goby,VU,0.4,2015,2018-1
185953,NA,Coryphopterus kuna,Kuna Goby,DD,NA,2015,2018-1
185954,NA,Coryphopterus eidolon,Pallid Goby,VU,0.4,2015,2018-1
185955,NA,Coryphopterus tortugae,Patch-reef Goby,VU,0.4,2015,2018-1
185956,NA,Coryphopterus venezuelae,Sand-canyon Goby,VU,0.4,2015,2018-1
185957,NA,Coryphopterus glaucofraenum,Bridled Goby,LC,0,2015,2018-1
185958,NA,Coryphopterus lipernes,Peppermint Goby,VU,0.4,2015,2018-1
185959,NA,Coryphopterus punctipectophorus,Spotted Goby,LC,0,2015,2018-1
185960,NA,Coryphopterus personatus,Masked Goby,VU,0.4,2015,2018-1
185961,NA,Coryphopterus alloides,Barfin Goby,VU,0.4,2015,2018-1
185962,NA,Coryphopterus dicrus,Colon Goby,LC,0,2015,2018-1
185963,NA,Ctenogobius boleosoma,Darter Goby,LC,0,2015,2018-1
185964,NA,Ctenogobius smaragdus,Emerald Goby,LC,0,2015,2018-1
185965,NA,Ctenogobius saepepallens,Dash Goby,LC,0,2015,2018-1
185966,NA,Ctenogobius pseudofasciatus,Slashcheek Goby,LC,0,2015,2018-1
185967,NA,Ctenogobius stigmaturus,Spottail Goby,LC,0,2015,2018-1
185968,NA,Ctenogobius claytonii,Mexican Goby,VU,0.4,2015,2018-1
185969,NA,Ctenogobius phenacus,Impostor Goby,LC,0,2015,2018-1
185970,NA,Ctenogobius fasciatus,Blotchcheek Goby,LC,0,2015,2018-1
185971,NA,Diapterus auratus,Irish Mojarra,LC,0,2015,2018-1
185972,NA,Dormitator maculatus,Fat Sleeper,LC,0,2015,2018-1
185973,NA,Elacatinus lori,Linesnout Goby,LC,0,2015,2018-1
185974,NA,Elacatinus xanthiprora,Yellowprow Goby,LC,0,2015,2018-1
185975,NA,Elacatinus horsti,Yellowline Goby,LC,0,2015,2018-1
185976,NA,Elacatinus chancei,Shortstripe Goby,LC,0,2015,2018-1
185977,NA,Elacatinus atronasus,Exuma Goby,EN,0.6,2015,2018-1
185978,NA,Elacatinus genie,Cleaner Goby,LC,0,2015,2018-1
185979,NA,Elacatinus jarocho,Jarocho Goby,EN,0.6,2015,2018-1
185980,NA,Elacatinus prochilos,Broadstripe Goby,VU,0.4,2015,2018-1
185981,NA,Tigrigobius multifasciatus,Greenbanded Goby,LC,0,2015,2018-1
185982,NA,Tigrigobius macrodon,Tiger Goby,LC,0,2015,2018-1
185983,NA,Tigrigobius saucrus,Leopard Goby,LC,0,2015,2018-1
185984,NA,Elacatinus illecebrosus,Barsnout Goby,LC,0,2015,2018-1
185985,NA,Elacatinus louisae,Spotlight Goby,LC,0,2015,2018-1
185986,NA,Elacatinus oceanops,Northern Neon Goby,LC,0,2015,2018-1
185987,NA,Elacatinus randalli,Yellownose Goby,LC,0,2015,2018-1
185988,NA,Elacatinus evelynae,Sharknose Goby,LC,0,2015,2018-1
185989,NA,Eleotris amblyopsis,Large-scaled Spinycheek Sleeper,LC,0,2015,2018-1
185990,NA,Eleotris perniger,Smallscaled Spinycheek Sleeper,LC,0,2015,2018-1
185991,NA,Eleotris pisonis,Spinycheek Sleeper,LC,0,2015,2018-1
185992,NA,Erotelis smaragdus,Emerald Sleeper,LC,0,2015,2018-1
185993,NA,Eucinostomus melanopterus,Flagfin Mojarra,LC,0,2015,2018-1
185994,NA,Eucinostomus argenteus,Spotfin Mojarra,LC,0,2015,2018-1
185995,NA,Eucinostomus gula,Silver Jenny,LC,0,2015,2018-1
185996,NA,Eucinostomus jonesii,Slender Mojarra,LC,0,2015,2018-1
185997,NA,Eugerres plumieri,Striped Mojarra,LC,0,2015,2018-1
185998,NA,Eugerres brasilianus,Brazilian Mojarra,LC,0,2015,2018-1
185999,NA,Evorthodus lyricus,Lyre Goby,LC,0,2015,2018-1
186e3,NA,Gobiesox lucayanus,Bahama Skilletfish,LC,0,2015,2018-1
186001,NA,Gobiesox nigripinnis,Blackfinned Clingfish,LC,0,2015,2018-1
186003,NA,Gobiesox punctulatus,Stippled Clingfish,LC,0,2015,2018-1
186004,NA,Gobiesox barbatulus,Lappetlip Clingfish,LC,0,2015,2018-1
186005,NA,Gobiesox strumosus,Skilletfish,LC,0,2015,2018-1
186006,NA,Gobioides grahamae,Goby,DD,NA,2015,2018-1
186007,NA,Gobioides broussonnetii,Violet Goby,LC,0,2015,2018-1
186008,NA,Gobiomorus dormitor,Bigmouth Sleeper,LC,0,2015,2018-1
186010,NA,Gobiosoma ginsburgi,Seaboard Goby,LC,0,2015,2018-1
186011,NA,Gobiosoma longipala,Twoscale Goby,LC,0,2015,2018-1
186012,NA,Gobiosoma bosc,Naked Goby,LC,0,2015,2018-1
186013,NA,Gobiosoma grosvenori,Rockcut Goby,LC,0,2015,2018-1
